"mL","R1","R1_purity","R2","R2_purity","R3","R3_purity","Triangle","Triangle_purity","Frame","Frame_purity","5WF","5WF_purity","Tetrahedron","Tetrahedron_purity","Mean","Mean_purity","purity_sd"
0.1,0.133333334078391,1,0,0.987818958472795,0,7.69447613724507e-06,0,0.999999999999936,1.15000001589457,1,0.0333333338300387,0.999999999995035,0.416666666666667,1,0.247619050067096,0.999999999993465,0.352961173161465
0.2,3.04999995231628,0.99999993249653,0,0.998519675380705,3,0.998255319776159,2.93333339691162,0.99999638015869,3.23333334922791,0.999999161515853,0.53333334128062,0.999993527238622,2.18333339691162,0.999999851194498,2.13333334809258,0.99999006644491,0.000748168272166799
0.3,16.6499996185303,0.99861918349591,13.6499999364217,0.972992834682655,14.8833335240682,0.954033652683407,12.9166666666667,0.991018142389462,12.4166663487752,0.993149727963331,14.266666730245,0.991424413729548,16.1166667938233,0.997606830013946,14.4142856597901,0.989464612782783,0.015131387475793
0.4,5.76666657129924,0.631795142262391,8.86666679382324,0.491811665115071,8.8833335240682,0.00416466251318355,8.08333333333333,0.462424047868591,7.95000012715657,0.428639789177553,11.1333335240682,0.492022565160461,10.5333331425985,0.670133611917601,8.74523814519247,0.453628698265598,0.201517636135585
0.5,13.9166666666667,0.0169690017986243,14.2166665395101,0.0103188982569338,17.3666667938232,3.66936274144811e-09,18.9166666666666,0.0219124127107189,23.4166666666666,0.0178226398691048,29.4833329518636,0.0161949590555294,28.1833330790202,0.0588896799293062,20.7857141948881,0.0161863400979259,0.0171229773161324
0.6,20.2833334604899,0.000494012820765058,15.4333333969116,7.73784305166364e-05,14.7999998728434,5.75134170703043e-16,21.0333340962728,0.00143432344677164,25.4500001271566,0.00129901591137773,38.0833333333334,0.000500411862450914,41.25,0.00628471830543637,25.1904763267154,0.000644700522939858,0.00206171379345928
0.7,9.1166664759318,3.27140099744799e-05,11.1333332061768,5.7603408416792e-07,10.8666667938232,6.86163083226918e-23,9.73333326975505,0.000183308900700805,12.3833332061768,0.000209832989382796,20.5499998728434,2.61206291614417e-05,24.3499997456868,0.00150301840616582,14.0190475100563,4.47564225011207e-05,0.000512736164302567
0.8,3.45000004768371,4.0568759057059e-06,5.86666663487752,4.94827712931636e-09,5.61666679382324,1.07143227245593e-29,3.70000004768372,3.86126456495834e-05,1.46666665871938,6.03846630911396e-05,6.41666682561238,2.1125393692866e-06,9.46666685740153,0.000653891985249231,5.14047626654307,4.82517027100855e-06,0.000226720535340001
0.9,2.06666668256124,7.99044230946653e-07,0,5.13285077139377e-11,0,2.69242306051361e-36,0,1.17017111076026e-05,0,2.62063260091565e-05,1.81666668256124,2.40905568790379e-07,3.33333333333333,0.000433533153924768,1.03095238549369,7.28281194951196e-07,0.000151556224035888
1,0,2.22234743575573e-07,0,6.48558068992136e-13,0,1.16780537692972e-42,0.516666650772093,4.64185272870642e-06,0.116666669646899,1.53058654643658e-05,1.25,3.60038530132347e-08,0,0.000387847431394096,0.269047617202713,1.42616349337417e-07,0.00013620023077732
1.1,0,8.03577592060009e-08,0,9.92601799473574e-15,0,8.83650463396757e-49,0,2.25720190502671e-06,0,1.11302410216541e-05,0,6.67887628243765e-09,1.61666667461395,0.000431005248783518,0.230952382087708,3.42950493311798e-08,0.000151749520948763
1.2,0,3.5616909092323e-08,0,1.81987224344613e-16,0.899999984850486,1.14839251313394e-54,1.51666665077209,1.28451794956568e-06,0.0166666666666667,9.54599898538385e-06,0.133333337803682,1.47679654031806e-09,1.73333330949147,0.000561875529941937,0.614285707083486,9.72720837257969e-09,0.000198130965940109
1.3,0,1.85401962214132e-08,0,3.94681823559823e-18,0,2.49547169343392e-60,0.1,8.27221555438489e-07,0,9.29050510074291e-06,0.483333349227907,3.7748864288446e-10,1.58333333333333,0.000825220022128719,0.309523811794463,3.15773710612084e-09,0.000291264933049213
